num_units,regularization_weight,optimizer,num_layers,learning_rate,regularization_function,dropout,hidden layer width,Number of parameters,Accuracy,Validation Accuracy,Recall,Validation Recall,Precision,Validation Precision,F1 Score,Validation F1 Score,True Positives,False Positives,True Negatives,False Negatives,Validation True Positives,Validation False Positives,Validation True Negatives,Validation False Negatives
8192.0,0.003312105469720022,adam,1.0,0.06880060793336905,l2,0.22383303332416382,1024.0,418389.0,0.6944064497947693,0.6320900321006775,0.5014770030975342,0.47612106800079346,0.1954532116651535,0.23711685836315155,0.28127679228782654,0.3165736794471741,5.979808807373047,24.614768981933594,63.460838317871094,5.944583892822266,8.521097183227539,27.415180206298828,54.68790817260742,9.375815391540527
2048.0,0.0493547617957296,adam,2.0,0.0016424378695301574,l2,0.45155198227596927,512.0,472661.0,0.674382209777832,0.5955337882041931,0.5518950819969177,0.5207399129867554,0.1947079300880432,0.22626528143882751,0.2878590226173401,0.315460205078125,6.581013202667236,27.21839714050293,60.857208251953125,5.343379497528076,9.319636344909668,31.86934471130371,50.233741760253906,8.577275276184082
2048.0,0.03883497531750085,sgd,1.0,0.0015550120410639113,l1,0.0797571912309759,128.0,53717.0,0.5411917567253113,0.48243415355682373,0.6224903464317322,0.6449551582336426,0.15210051834583282,0.20269888639450073,0.24446707963943481,0.3084549307823181,7.4228196144104,41.379249572753906,46.69635772705078,4.501573085784912,11.542705535888672,45.40237808227539,36.700706481933594,6.354206562042236
8192.0,5.202485544215081e-05,adam,0.0,0.02113776478173897,l1,0.14048590287973434,512.0,2026.0,0.6596237421035767,0.6105014085769653,0.6503779888153076,0.47769057750701904,0.2061283141374588,0.22408625483512878,0.3130418658256531,0.3050648868083954,7.7553629875183105,29.868595123291016,58.20701217651367,4.169029712677002,8.549186706542969,29.602134704589844,52.500953674316406,9.347725868225098
8192.0,0.005825563004091829,adam,0.0,0.029214245262593443,l2,0.776633380511813,512.0,2026.0,0.6602327227592468,0.6412591934204102,0.6512792110443115,0.4387892484664917,0.20663034915924072,0.23314271867275238,0.31372514367103577,0.3044961988925934,7.766109466552734,29.818445205688477,58.257164001464844,4.158283233642578,7.852972507476807,25.83013916015625,56.27294921875,10.043939590454102
512.0,0.018251705304838883,adam,2.0,0.05469902834070227,l2,0.6991536598505523,512.0,472661.0,0.4892326295375824,0.1789691150188446,0.5134431719779968,1.0,0.11912091076374054,0.1789691150188446,0.19337715208530426,0.3036024570465088,6.12249755859375,45.27484130859375,42.80076599121094,5.8018951416015625,17.89691162109375,82.10308837890625,0.0,0.0
512.0,0.0005062472985700509,adam,3.0,0.040740885631911576,l1,0.7528108090443639,256.0,237397.0,0.5026895999908447,0.1789691150188446,0.4929654896259308,1.0,0.1186022162437439,0.1789691150188446,0.19120271503925323,0.3036024570465088,5.878314018249512,43.68496322631836,44.39064407348633,6.046078205108643,17.89691162109375,82.10308837890625,0.0,0.0
512.0,0.0002414357951599334,adam,3.0,0.071900740947566,l1,0.3329439511154769,512.0,735317.0,0.4940566122531891,0.1789691150188446,0.5080358386039734,1.0,0.11928525567054749,0.1789691150188446,0.19320596754550934,0.3036024570465088,6.058019161224365,44.72796630859375,43.34764099121094,5.866373538970947,17.89691162109375,82.10308837890625,0.0,0.0
512.0,0.0018933648416640545,adam,2.0,0.07849391421494961,l1,0.06014685929042978,128.0,70229.0,0.4915849268436432,0.1789691150188446,0.5104891657829285,1.0,0.11914416402578354,0.1789691150188446,0.19319723546504974,0.3036024570465088,6.087273120880127,45.00438690185547,43.07122039794922,5.8371195793151855,17.89691162109375,82.10308837890625,0.0,0.0
512.0,0.00016809178200505453,adam,2.0,0.05643245445405191,l2,0.5950736949336969,256.0,171605.0,0.48689231276512146,0.1789691150188446,0.5164471864700317,1.0,0.11910948157310486,0.1789691150188446,0.19357411563396454,0.3036024570465088,6.158319473266602,45.54469680786133,42.53091049194336,5.766073226928711,17.89691162109375,82.10308837890625,0.0,0.0
